Date,Price,Open,High,Low,Vol.,Change %
10/25/2019,15.235,15.55,15.55,15.4,0.21K,-2.68%
10/24/2019,15.655,15.15,15.65,15.15,0.29K,1.56%
10/23/2019,15.415,15.3,15.45,15.3,0.11K,-1.15%
10/22/2019,15.595,15.75,15.75,15.75,0.03K,-0.10%
10/21/2019,15.61,16.21,16.21,15.65,0.04K,-2.22%
10/18/2019,15.965,16.245,16.245,15.875,0.36K,-0.37%
10/17/2019,16.025,15.825,16.05,15.75,0.39K,-0.31%
10/16/2019,16.075,16.225,16.245,16.15,0.08K,0.06%
10/15/2019,16.065,16.05,16.05,16.05,0.01K,0.16%
10/14/2019,16.04,15.95,15.95,15.95,0.06K,-0.59%
10/11/2019,16.135,16.125,16.15,15.825,0.30K,1.80%
10/10/2019,15.85,15.825,15.825,15.475,0.49K,1.77%
10/9/2019,15.575,15.3,15.925,15.3,1.26K,-0.42%
10/8/2019,15.64,15.65,15.7,15.425,0.76K,0.87%
10/7/2019,15.505,15.2,15.475,15.2,0.22K,-1.68%
10/4/2019,15.77,16.35,16.5,15.75,0.16K,-1.50%
10/3/2019,16.01,16,16.225,15.85,0.31K,0.03%
10/2/2019,16.005,16.3,16.3,15.925,0.20K,-4.50%
10/1/2019,16.76,16.25,16.725,16.185,0.20K,2.26%
9/30/2019,16.39,16.68,16.69,16.68,0.02K,37.27%
9/27/2019,11.94,11.94,11.94,11.94,,-0.87%
9/26/2019,12.045,12.045,12.045,12.045,,0.79%
9/25/2019,11.95,11.935,12.05,11.935,0.21K,-3.16%
9/24/2019,12.34,12.175,12.6,12.175,0.04K,0.78%
9/23/2019,12.245,12.245,12.245,12.245,,-3.66%
9/20/2019,12.71,12.575,12.575,12.575,0.05K,3.71%
9/19/2019,12.255,12.255,12.255,12.255,0.04K,-1.45%
9/18/2019,12.435,12.8,12.8,12.535,0.02K,-7.48%
9/17/2019,13.44,14.175,14.175,13.525,0.07K,-12.36%
9/16/2019,15.335,15.155,15.155,15.155,0.01K,4.25%
9/13/2019,14.71,15.65,15.65,15.645,0.05K,1.69%
9/12/2019,14.465,14.545,14.545,14.545,0.05K,0.77%
9/11/2019,14.355,14.05,14.495,14.05,0.05K,-0.35%
9/10/2019,14.405,12.35,13.8,12.35,0.28K,17.74%
9/9/2019,12.235,12.675,12.675,12.3,0.41K,-0.93%
9/6/2019,12.35,12.175,12.175,12.1,0.25K,0.94%
9/5/2019,12.235,11.8,12,11.8,0.33K,2.30%
9/4/2019,11.96,12.15,12.15,12.1,0.08K,-1.16%
9/3/2019,12.1,11.95,12.125,11.675,1.00K,-5.43%
8/30/2019,12.795,12.795,12.795,12.795,0.01K,19.41%
8/29/2019,10.715,10.425,10.64,10.425,0.02K,4.69%
8/28/2019,10.235,10.35,10.35,10.225,0.22K,1.64%
8/27/2019,10.07,10.15,10.25,10.15,0.08K,-2.38%
8/26/2019,10.315,10.315,10.315,10.315,,-2.55%
8/23/2019,10.585,10.825,10.825,10.65,0.04K,-3.69%
8/22/2019,10.99,11.275,11.375,10.98,0.16K,-3.72%
8/21/2019,11.415,11.2,11.7,11.2,0.51K,1.78%
8/20/2019,11.215,11.3,11.305,11.225,0.05K,3.99%
8/19/2019,10.785,10.8,11.1,10.76,0.22K,-1.55%
8/16/2019,10.955,11.175,11.35,10.925,0.11K,-2.41%
8/15/2019,11.225,11.15,11.25,11.075,0.13K,0.40%
8/14/2019,11.18,11.5,11.6,11.225,0.24K,-5.73%
8/13/2019,11.86,11.45,11.75,11.45,0.29K,3.85%
8/12/2019,11.42,11.95,12.05,11.38,0.26K,-5.03%
8/9/2019,12.025,12.05,12.2,11.795,0.13K,-0.41%
8/8/2019,12.075,11.25,12.04,11.2,0.43K,5.83%
8/7/2019,11.41,11,11.4,10.9,0.48K,4.20%
8/6/2019,10.95,11.175,11.25,10.875,0.86K,-4.49%
8/5/2019,11.465,11.975,12.15,11.375,1.09K,-4.58%
8/2/2019,12.015,11.96,12.655,11.96,0.07K,-2.79%
8/1/2019,12.36,11.675,12.345,11.55,0.39K,12.36%
7/31/2019,11,11,11,11,,12.36%
7/30/2019,9.79,9.85,9.9,9.725,0.27K,-0.20%
7/29/2019,9.81,10.075,10.15,9.75,0.41K,-1.56%
7/26/2019,9.965,10,10.125,9.875,0.58K,-0.60%
7/25/2019,10.025,10.25,10.275,10.05,0.38K,-0.50%
7/24/2019,10.075,10.375,10.475,10.2,0.26K,-6.28%
7/23/2019,10.75,10.125,10.4,10.125,0.27K,5.81%
7/22/2019,10.16,10.9,10.95,10.375,0.80K,-6.06%
7/19/2019,10.815,10.9,10.9,10.9,0.02K,0.75%
7/18/2019,10.735,11.075,11.125,10.625,0.94K,-2.32%
7/17/2019,10.99,11,11.275,10.825,0.09K,-3.72%
7/16/2019,11.415,12.13,12.13,12.13,0.02K,-11.48%
